CHILD_DRIV,AGE,CHILDREN,YOJ,INCOME,HOUSE_VAL,STATUS,GENDER,EDU_LEVEL,JOB,DISTANCE,CAR_USE,VEHICLE_VAL,VEHICLE_TYPE,CLM_FREQ,REVOKED,MVR_PTS,VEHICLE_AGE,CLAIM_IND,AREA
0,42,0,17,96834,365350,Yes,Fem,Masters,Nurse,81,Private,11130,unknown,1,No,7,16,0,Highly Urban/ Urban
0,45,0,14,47241,23556,No,Fem,<High School,Teacher,74,Private,19700,Racing,0,No,1,7,0,Highly Urban/ Urban
2,50,2,3,560,512241,Yes,Fem,High School,Home Maker,53,Private,5900,unknown,5,No,0,13,0,Highly Urban/ Urban
0,61,0,17,,231075,Yes,Mal,Bachelors,Professional,52,Commercial,25660,Racing,3,No,4,14,0,Highly Urban/ Urban
0,69,0,15,38900,206295,Yes,Fem,High School,Teacher,61,Commercial,11290,Sports Car,0,No,2,3,1,Highly Urban/ Urban
0,52,1,16,80566,414410,Yes,Fem,Bachelors,Professional,72,Private,16830,unknown,2,No,2,17,0,Highly Rural/ Rural
0,32,1,12,32235,359609,Yes,Fem,High School,Clerical,71,Private,10030,unknown,2,No,4,3,1,Highly Urban/ Urban
1,39,2,20,46048,684609,Yes,Mal,Bachelors,Manager,61,Private,22090,Minivan,0,No,2,14,0,Highly Urban/ Urban
0,47,0,11,73153,247338,No,Fem,Bachelors,Clerical,71,Private,12220,unknown,2,No,3,14,0,Highly Urban/ Urban
0,43,2,3,,882014,Yes,Fem,Masters,Home Maker,60,Private,14130,unknown,2,Yes,4,14,0,Highly Rural/ Rural
0,85,0,15,34172,623663,Yes,Mal,<High School,Teacher,72,Commercial,24000,Panel Truck,2,No,7,,1,Highly Urban/ Urban
0,47,0,8,49804,340114,Yes,Mal,Bachelors,Clerical,75,Private,15880,Minivan,2,No,3,3,0,Highly Urban/ Urban
2,51,2,15,131500,438419,No,Fem,Bachelors,Teacher,50,Commercial,27200,Minivan,0,No,0,11,0,Highly Rural/ Rural
0,50,0,11,52238,359898,Yes,Fem,Bachelors,Professional,82,Private,1500,unknown,0,No,3,12,0,Highly Urban/ Urban
0,66,0,10,93402,551118,No,Mal,Masters,,57,Commercial,25810,Panel Truck,2,No,7,17,0,Highly Urban/ Urban
0,43,0,13,36441,403065,Yes,Mal,Bachelors,Teacher,83,Commercial,16640,Van,0,No,0,15,0,Highly Urban/ Urban
0,57,0,3,960,499613,Yes,Fem,PhD,Home Maker,110,Private,13220,Minivan,2,No,0,14,0,Highly Rural/ Rural
0,41,0,15,115604,347314,No,Fem,PhD,Doctor,63,Private,17900,Minivan,0,No,2,16,0,Highly Urban/ Urban
0,32,0,14,39114,751279,Yes,Fem,High School,Clerical,92,Private,12080,unknown,0,No,2,11,0,Highly Rural/ Rural
0,40,2,20,146313,530676,Yes,Fem,Masters,,83,Commercial,29450,Van,0,No,2,17,0,Highly Urban/ Urban
0,49,0,11,168429,306228,No,Fem,PhD,Doctor,67,Private,34150,Sports Car,0,No,3,3,0,Highly Urban/ Urban
0,70,0,18,121958,455301,Yes,Fem,PhD,Doctor,55,Private,16270,unknown,2,No,4,13,0,Highly Urban/ Urban
0,64,0,3,560,394153,No,Fem,High School,Student,93,Commercial,9280,unknown,0,No,1,8,0,Highly Rural/ Rural
0,58,0,10,15068,518232,Yes,Mal,Bachelors,Student,67,Commercial,6450,Pickup,0,No,4,9,0,Highly Urban/ Urban
0,47,0,16,76698,288222,Yes,Fem,Bachelors,Manager,85,Private,23080,Sports Car,0,No,2,10,0,Highly Urban/ Urban
0,63,0,13,33334,106002,No,Fem,High School,Clerical,89,Private,20120,Minivan,2,No,2,3,0,Highly Rural/ Rural
0,46,0,14,58034,209974,Yes,Mal,Bachelors,Clerical,50,Commercial,29270,Panel Truck,0,No,3,7,0,Highly Urban/ Urban
0,48,1,15,27480,460721,Yes,Mal,Bachelors,Student,107,Commercial,4600,Minivan,2,No,2,7,0,Highly Urban/ Urban
0,62,0,11,19804,23556,Yes,Fem,High School,Student,80,Commercial,19450,unknown,4,No,7,,0,Highly Urban/ Urban
0,68,0,,108219,856043,Yes,Mal,Masters,Professional,81,Private,29230,Minivan,2,No,0,17,0,Highly Urban/ Urban
0,47,3,10,35006,984287,Yes,Fem,High School,Clerical,78,Private,4040,unknown,0,No,4,7,0,Highly Rural/ Rural
0,46,3,17,33324,400232,Yes,Mal,<High School,Clerical,85,Private,12270,Minivan,0,No,9,3,0,Highly Urban/ Urban
0,54,0,8,107735,,No,Mal,Masters,Nurse,55,Private,31930,Minivan,2,No,0,,0,Highly Urban/ Urban
0,45,0,,53948,252832,Yes,Mal,High School,Teacher,69,Commercial,23450,Minivan,0,No,2,13,0,Highly Rural/ Rural
0,50,0,14,17949,194337,No,Mal,<High School,Teacher,65,Commercial,12230,Pickup,1,Yes,17,8,1,Highly Urban/ Urban
0,66,2,10,18315,749493,No,Fem,<High School,Clerical,74,Private,14480,Minivan,2,Yes,2,3,0,Highly Urban/ Urban
1,49,2,16,,206115,No,Fem,High School,Teacher,107,Commercial,9360,Sports Car,0,No,0,,1,Highly Urban/ Urban
0,52,3,15,56608,208504,Yes,Mal,Masters,Nurse,60,Private,10700,Minivan,4,No,4,18,0,Highly Urban/ Urban
0,62,2,18,16912,352057,Yes,Fem,High School,Home Maker,82,Private,10520,unknown,1,No,3,3,1,Highly Urban/ Urban
0,54,0,19,45720,500525,Yes,Mal,Bachelors,Manager,75,Private,21770,Minivan,0,No,2,8,0,Highly Urban/ Urban
1,63,1,17,64912,237591,Yes,Fem,Masters,Nurse,95,Private,32340,Van,2,Yes,4,15,1,Highly Urban/ Urban
0,60,3,15,23470,188667,Yes,Mal,High School,Clerical,71,Private,14690,Minivan,2,Yes,0,3,1,Highly Rural/ Rural
0,49,0,,,470789,Yes,Mal,Bachelors,Professional,59,Commercial,28560,Panel Truck,7,No,3,12,0,Highly Urban/ Urban
1,48,2,,25020,694902,No,Mal,Bachelors,Clerical,69,Private,14220,Minivan,2,No,0,12,1,Highly Urban/ Urban
0,40,4,15,21782,252692,Yes,Fem,High School,Home Maker,91,Private,6880,unknown,5,No,2,3,1,Highly Urban/ Urban
0,29,3,17,55528,358788,Yes,Fem,High School,Professional,65,Private,10040,unknown,0,Yes,2,10,0,Highly Urban/ Urban
0,45,0,11,15154,122368,No,Fem,<High School,Clerical,58,Private,2920,Sports Car,3,Yes,4,12,1,Highly Urban/ Urban
1,44,4,15,3109,496897,Yes,Fem,<High School,Home Maker,80,Private,22690,Pickup,2,No,4,3,0,Highly Urban/ Urban
0,49,2,15,,94224,No,Fem,<High School,Teacher,88,Private,9730,unknown,0,No,8,6,1,Highly Urban/ Urban
2,33,2,17,46536,297959,Yes,Fem,<High School,Teacher,72,Private,1500,Sports Car,3,No,8,,0,Highly Urban/ Urban
2,47,3,14,137663,53001,No,Fem,Masters,Manager,74,Private,19510,Sports Car,3,No,2,17,1,Highly Urban/ Urban
0,72,0,12,,341562,No,Mal,PhD,,76,Commercial,33710,Panel Truck,2,Yes,4,20,0,Highly Urban/ Urban
0,65,0,13,80498,94224,No,Fem,Bachelors,Manager,58,Private,14050,Minivan,2,Yes,4,13,0,Highly Urban/ Urban
0,47,1,14,187196,644562,Yes,Fem,PhD,Nurse,73,Private,10250,unknown,3,No,6,22,0,Highly Urban/ Urban
0,77,0,17,,480107,No,Mal,Masters,,67,Commercial,33320,Panel Truck,0,Yes,1,14,0,Highly Urban/ Urban
0,59,0,14,62491,219419,Yes,Mal,Masters,,75,Commercial,10910,Pickup,2,No,2,,0,Highly Urban/ Urban
0,79,0,12,62069,324996,Yes,Mal,Masters,,85,Commercial,23230,Panel Truck,0,No,5,19,0,Highly Urban/ Urban
0,57,0,12,75386,147225,No,Fem,PhD,Doctor,56,Private,27600,unknown,2,No,0,20,0,Highly Urban/ Urban
0,65,0,12,75682,395926,Yes,Fem,Bachelors,Professional,54,Private,23640,Minivan,2,No,0,3,0,Highly Urban/ Urban
1,55,2,14,103353,435786,No,Mal,Bachelors,Professional,70,Private,1500,Minivan,2,No,6,13,1,Highly Urban/ Urban
0,83,0,18,41216,549804,Yes,Fem,High School,Clerical,102,Private,9170,Sports Car,4,Yes,2,9,1,Highly Urban/ Urban
0,51,0,3,960,104809,Yes,Fem,High School,Home Maker,95,Private,8660,Sports Car,2,No,5,,0,Highly Urban/ Urban
1,49,2,15,,576218,Yes,Fem,Bachelors,Teacher,88,Commercial,5200,unknown,3,No,1,5,1,Highly Urban/ Urban
0,34,0,,30331,447564,No,Fem,<High School,Clerical,94,Private,4860,Sports Car,0,No,0,3,0,Highly Urban/ Urban
0,67,0,15,33133,459540,Yes,Mal,High School,Clerical,59,Commercial,9640,Pickup,3,No,6,3,1,Highly Urban/ Urban
0,49,0,14,34287,47112,No,Fem,Bachelors,Clerical,72,Private,10850,unknown,3,No,2,14,0,Highly Urban/ Urban
0,69,0,3,1760,247724,Yes,Fem,Masters,Professional,87,Private,6400,unknown,1,No,10,16,0,Highly Urban/ Urban
0,62,2,18,140290,358123,No,Fem,High School,Teacher,80,Commercial,22050,Sports Car,0,No,0,3,0,Highly Rural/ Rural
0,45,0,16,163856,612508,No,Fem,PhD,Nurse,87,Private,22830,Minivan,2,No,0,16,0,Highly Rural/ Rural
0,35,1,13,18415,252869,No,Fem,<High School,Teacher,95,Private,12380,Minivan,2,No,2,8,0,Highly Rural/ Rural
0,73,0,,72367,582395,Yes,Mal,Bachelors,Manager,106,Private,14000,Minivan,0,No,0,13,0,Highly Urban/ Urban
0,55,0,3,1360,117780,Yes,Mal,High School,Student,86,Commercial,17470,Van,4,No,5,8,0,Highly Rural/ Rural
0,68,0,9,38596,636279,Yes,Fem,High School,Teacher,77,Commercial,13140,unknown,0,No,4,3,1,Highly Urban/ Urban
0,65,0,16,42159,274602,No,Fem,Bachelors,Manager,66,Private,15360,unknown,2,No,0,10,0,Highly Urban/ Urban
0,49,1,13,39002,685865,No,Mal,High School,Professional,60,Private,15160,Minivan,2,No,0,3,0,Highly Urban/ Urban
0,46,0,14,91783,259116,No,Mal,Masters,Nurse,68,Private,10620,Pickup,2,No,0,,0,Highly Urban/ Urban
0,64,0,10,46747,237975,Yes,Fem,Masters,Nurse,50,Private,19380,Minivan,0,No,0,15,0,Highly Urban/ Urban
0,64,0,,85924,586320,Yes,Mal,Bachelors,Teacher,66,Commercial,5760,Pickup,2,No,10,13,0,Highly Urban/ Urban
0,46,0,11,39200,349678,Yes,Fem,High School,Clerical,73,Private,16220,unknown,0,No,2,,0,Highly Rural/ Rural
0,56,2,3,960,92925,Yes,Fem,High School,Home Maker,81,Private,8750,Sports Car,0,No,2,10,0,Highly Urban/ Urban
2,37,2,16,143548,418257,Yes,Mal,Masters,Manager,73,Private,21790,Minivan,2,No,4,11,0,Highly Urban/ Urban
0,52,0,14,52525,82446,No,Mal,Masters,Nurse,81,Private,18110,Van,4,No,7,17,0,Highly Urban/ Urban
0,35,3,3,560,525700,Yes,Fem,High School,Home Maker,70,Private,11740,unknown,4,No,4,3,1,Highly Urban/ Urban
0,47,0,14,105944,420623,Yes,Mal,Masters,Professional,69,Private,13800,Minivan,5,Yes,6,19,0,Highly Urban/ Urban
0,66,0,13,66825,229944,Yes,Mal,Masters,Nurse,104,Private,12230,Minivan,0,No,3,11,1,Highly Urban/ Urban
0,53,0,10,,,No,Mal,Masters,,62,Commercial,23350,Panel Truck,5,No,8,19,1,Highly Urban/ Urban
0,54,0,15,32954,630123,No,Fem,High School,Clerical,78,Private,13770,unknown,2,No,2,3,0,Highly Urban/ Urban
0,47,0,12,77186,447591,Yes,Mal,Bachelors,Teacher,63,Commercial,23390,Panel Truck,2,No,0,16,0,Highly Urban/ Urban
1,61,3,19,8488,473038,Yes,Mal,<High School,Clerical,71,Private,8080,Pickup,2,No,2,10,0,Highly Rural/ Rural
0,45,4,3,560,229671,No,Mal,High School,Student,59,Commercial,15090,Minivan,3,No,4,7,1,Highly Urban/ Urban
0,43,0,3,,115113,Yes,Fem,Bachelors,Student,93,Commercial,12850,unknown,2,No,3,8,1,Highly Urban/ Urban
1,46,1,12,34157,490445,Yes,Fem,Masters,Nurse,108,Private,21690,Minivan,2,No,6,16,0,Highly Urban/ Urban
0,40,0,14,45265,264997,Yes,Fem,Bachelors,Professional,95,Private,12840,unknown,4,No,2,12,1,Highly Urban/ Urban
0,38,1,3,560,641403,Yes,Fem,Bachelors,Home Maker,71,Private,8350,unknown,0,No,7,9,0,Highly Urban/ Urban
0,62,0,12,69952,417212,No,Fem,Bachelors,Teacher,81,Commercial,15120,Minivan,2,No,7,12,0,Highly Rural/ Rural
0,49,0,14,133121,1362675,No,Mal,Masters,Professional,53,Commercial,30150,Panel Truck,1,No,0,3,0,Highly Urban/ Urban
0,63,0,18,32698,544461,Yes,Mal,<High School,Teacher,68,Commercial,14620,unknown,2,No,2,3,1,Highly Urban/ Urban
0,79,1,20,97790,425939,Yes,Mal,Masters,Professional,68,Private,11180,unknown,0,No,0,18,0,Highly Urban/ Urban
0,66,0,12,126853,35334,No,Mal,PhD,,66,Commercial,7500,Pickup,4,No,4,17,0,Highly Urban/ Urban
2,47,4,9,155137,509759,No,Fem,Bachelors,Teacher,72,Private,20450,unknown,3,No,5,3,0,Highly Urban/ Urban
0,56,0,10,64974,492201,Yes,Mal,<High School,Teacher,78,Commercial,7900,Pickup,5,No,3,7,1,Highly Urban/ Urban
0,38,0,14,80308,505592,Yes,Fem,High School,Manager,68,Private,13150,unknown,0,No,2,3,0,Highly Urban/ Urban
0,78,2,17,192649,889820,Yes,Mal,PhD,,76,Commercial,21100,Van,2,No,0,,1,Highly Urban/ Urban
1,65,1,10,,600678,Yes,Fem,High School,Student,85,Private,7050,Sports Car,2,No,0,12,0,Highly Rural/ Rural
0,77,0,18,108712,665429,Yes,Fem,Masters,Manager,63,Private,12320,unknown,2,Yes,2,17,0,Highly Urban/ Urban
0,66,0,17,,1259704,Yes,Mal,Bachelors,Manager,93,Private,21320,Van,2,No,0,15,0,Highly Urban/ Urban
0,45,0,15,124480,636958,Yes,Mal,Bachelors,Teacher,59,Commercial,17550,Van,0,No,0,,0,Highly Urban/ Urban
0,61,0,16,45817,366166,Yes,Mal,Bachelors,Clerical,78,Commercial,29210,Panel Truck,2,No,0,,0,Highly Urban/ Urban
0,39,0,11,54204,547677,No,Mal,Bachelors,Professional,73,Commercial,20920,Van,1,No,1,10,1,Highly Urban/ Urban
1,67,2,20,43217,781471,Yes,Fem,Masters,Manager,80,Private,20870,Sports Car,0,No,0,23,0,Highly Urban/ Urban
0,57,1,11,127028,17667,No,Fem,Masters,Manager,79,Commercial,32690,Pickup,2,No,2,20,1,Highly Urban/ Urban
3,34,3,12,76476,889574,Yes,Fem,High School,Teacher,98,Commercial,13050,Sports Car,0,Yes,0,8,0,Highly Rural/ Rural
0,78,0,19,77514,802856,No,Mal,Bachelors,Professional,89,Private,19540,Minivan,0,Yes,2,13,0,Highly Urban/ Urban
0,66,1,11,150912,1016454,Yes,Fem,Masters,Manager,66,Private,24240,Pickup,0,No,0,19,0,Highly Urban/ Urban
0,73,0,11,89920,573812,Yes,Mal,Masters,Nurse,59,Private,13630,Minivan,0,No,4,19,0,Highly Urban/ Urban
1,41,1,15,38940,202940,Yes,Fem,<High School,Clerical,81,Private,5260,unknown,4,No,2,3,1,Highly Urban/ Urban
0,55,2,18,23904,459289,Yes,Mal,High School,Teacher,55,Private,7930,Pickup,2,No,5,3,1,Highly Urban/ Urban
0,41,0,19,44250,364886,Yes,Fem,Bachelors,Teacher,74,Private,23640,unknown,2,No,0,12,0,Highly Urban/ Urban
0,62,0,13,49297,255598,Yes,Mal,Bachelors,Manager,69,Private,11220,Pickup,0,No,3,3,0,Highly Urban/ Urban
0,54,0,15,65219,243254,Yes,Mal,High School,Clerical,71,Private,25100,Minivan,4,No,3,11,0,Highly Urban/ Urban
0,49,0,15,111346,523936,Yes,Mal,Masters,,66,Commercial,16640,Van,0,No,6,16,1,Highly Urban/ Urban
0,51,0,15,54725,547677,No,Fem,Bachelors,Professional,50,Private,12360,unknown,2,No,2,3,0,Highly Urban/ Urban
0,67,0,9,13501,412230,No,Mal,<High School,Clerical,50,Private,7500,Minivan,2,No,0,3,0,Highly Rural/ Rural
0,38,0,15,105231,318154,Yes,Mal,Masters,,85,Commercial,36120,Panel Truck,0,No,4,13,0,Highly Urban/ Urban
0,52,2,,26786,653965,Yes,Fem,High School,Clerical,113,Private,23610,unknown,2,No,3,3,0,Highly Rural/ Rural
0,31,1,,68238,650453,Yes,Fem,Masters,Nurse,94,Private,20210,Minivan,0,No,2,18,0,Highly Rural/ Rural
0,42,0,13,105550,318318,No,Fem,Bachelors,Professional,85,Private,16080,unknown,0,No,0,9,0,Highly Urban/ Urban
0,67,0,9,90908,11778,No,Fem,Bachelors,Professional,82,Private,18160,unknown,0,No,4,11,0,Highly Urban/ Urban
0,23,1,15,112387,604155,Yes,Fem,Masters,,80,Commercial,28180,Van,2,No,7,6,0,Highly Urban/ Urban
1,30,3,15,30391,567157,Yes,Fem,<High School,Clerical,57,Private,22560,Minivan,2,No,3,,0,Highly Urban/ Urban
0,40,0,17,46150,276131,Yes,Fem,Masters,,50,Commercial,19800,Pickup,3,No,4,11,0,Highly Urban/ Urban
1,56,2,14,77119,371007,No,Fem,Bachelors,Professional,97,Private,19750,unknown,2,Yes,4,,1,Highly Urban/ Urban
0,76,0,9,108694,200226,No,Fem,PhD,Nurse,99,Private,18470,unknown,2,No,2,17,0,Highly Urban/ Urban
0,33,0,3,960,,No,Mal,<High School,Student,92,Commercial,5700,Pickup,0,No,7,3,1,Highly Urban/ Urban
0,46,2,15,26642,276783,No,Fem,High School,Clerical,83,Private,11160,unknown,0,No,2,3,0,Highly Rural/ Rural
0,49,0,14,19509,881706,Yes,Mal,Masters,Nurse,69,Private,12800,Minivan,0,No,0,16,0,Highly Urban/ Urban
0,69,0,17,,559421,Yes,Mal,High School,Clerical,56,Commercial,17300,Van,2,No,2,9,0,Highly Urban/ Urban
0,68,0,12,51126,240298,No,Mal,High School,Teacher,77,Commercial,11620,Pickup,5,Yes,0,3,0,Highly Urban/ Urban
0,65,0,11,74832,563884,Yes,Fem,Masters,Nurse,88,Private,20240,Sports Car,2,No,2,18,0,Highly Rural/ Rural
0,62,0,17,74303,348824,Yes,Fem,High School,Manager,105,Private,20010,Minivan,4,No,6,10,0,Highly Urban/ Urban
0,47,2,18,50809,223782,No,Fem,Masters,Nurse,80,Private,13130,unknown,5,No,8,22,1,Highly Urban/ Urban
1,46,1,19,12614,329784,Yes,Fem,<High School,Student,73,Commercial,15760,Pickup,4,Yes,6,3,1,Highly Urban/ Urban
0,42,3,17,48744,338746,Yes,Fem,High School,Teacher,95,Commercial,14530,Sports Car,4,No,11,3,0,Highly Urban/ Urban
0,74,3,21,79896,506564,Yes,Fem,Masters,Nurse,85,Private,20350,unknown,2,No,2,17,1,Highly Urban/ Urban
0,56,0,3,560,312117,No,Mal,<High School,Student,78,Private,7000,Pickup,0,No,0,3,0,Highly Rural/ Rural
0,50,0,13,79874,299723,No,Fem,Bachelors,Manager,81,Private,5500,unknown,4,No,10,12,0,Highly Urban/ Urban
0,52,0,9,78085,269730,Yes,Fem,Bachelors,Clerical,94,Private,9570,Sports Car,0,No,3,15,0,Highly Urban/ Urban
0,60,0,,39286,156566,Yes,Mal,Masters,Nurse,50,Private,10230,Pickup,0,No,0,19,0,Highly Urban/ Urban
0,47,0,17,26795,180353,Yes,Mal,High School,Clerical,74,Private,8490,Pickup,0,No,3,14,0,Highly Urban/ Urban
0,66,0,15,48620,574769,Yes,Mal,Masters,Professional,76,Private,11940,Pickup,2,No,12,20,0,Highly Urban/ Urban
0,45,0,13,124503,365258,No,Fem,Masters,Manager,61,Private,24930,Minivan,2,No,5,16,0,Highly Urban/ Urban
0,36,0,11,23019,736380,Yes,Fem,<High School,Clerical,69,Commercial,21990,Pickup,2,No,1,3,0,Highly Urban/ Urban
1,53,1,15,51710,577122,No,Fem,Masters,Manager,71,Private,10170,unknown,3,No,9,16,0,Highly Urban/ Urban
0,40,1,13,24131,318006,No,Mal,High School,Clerical,80,Commercial,12180,Pickup,2,No,0,9,0,Highly Urban/ Urban
0,49,0,3,960,668813,Yes,Fem,PhD,Home Maker,74,Private,18110,unknown,2,No,3,3,0,Highly Urban/ Urban
0,63,0,15,36191,285530,Yes,Mal,High School,Clerical,84,Private,6040,Minivan,0,No,2,3,0,Highly Urban/ Urban
0,69,0,14,129794,606567,No,Mal,PhD,Doctor,82,Private,21200,Van,0,No,2,,0,Highly Urban/ Urban
0,58,0,15,,123669,No,Fem,<High School,Clerical,61,Private,11650,unknown,3,No,6,9,0,Highly Urban/ Urban
0,83,0,17,55969,185793,Yes,Mal,Bachelors,Teacher,90,Commercial,27890,Panel Truck,2,No,2,16,0,Highly Rural/ Rural
1,50,2,15,35820,565175,Yes,Fem,<High School,Teacher,75,Private,9740,unknown,1,No,10,3,0,Highly Urban/ Urban
0,51,4,18,49027,191914,No,Fem,Bachelors,Clerical,66,Private,18120,Minivan,0,No,2,10,0,Highly Urban/ Urban
0,59,2,15,65827,569860,Yes,Fem,Masters,Nurse,66,Private,12490,unknown,0,No,2,12,0,Highly Urban/ Urban
0,97,2,26,98676,801574,Yes,Mal,Bachelors,Professional,59,Private,15920,Minivan,2,No,2,12,0,Highly Urban/ Urban
0,52,0,13,40173,506985,Yes,Mal,High School,Teacher,93,Commercial,8460,Pickup,4,No,8,3,0,Highly Urban/ Urban
0,45,0,14,,,No,Mal,High School,Student,114,Private,14130,Minivan,2,No,5,,0,Highly Rural/ Rural
0,47,0,14,50740,200226,No,Fem,<High School,Clerical,97,Private,10500,Sports Car,2,No,0,3,0,Highly Rural/ Rural
0,30,3,12,34243,198547,Yes,Mal,Bachelors,Teacher,82,Commercial,7690,Pickup,2,No,6,18,1,Highly Urban/ Urban
0,40,0,14,61805,571233,No,Fem,Bachelors,Manager,76,Private,24260,Minivan,0,No,0,20,0,Highly Urban/ Urban
0,68,0,10,27657,211420,Yes,Fem,<High School,Clerical,88,Private,15080,unknown,2,Yes,10,3,0,Highly Urban/ Urban
0,60,0,15,137704,100113,No,Fem,PhD,Doctor,90,Private,13160,Sports Car,0,No,0,19,1,Highly Urban/ Urban
0,46,0,10,71273,299841,Yes,Fem,Bachelors,Professional,100,Private,14960,Minivan,5,No,5,6,0,Highly Urban/ Urban
0,57,3,18,24733,588900,No,Fem,High School,Home Maker,54,Commercial,34510,Van,0,No,0,3,0,Highly Rural/ Rural
0,65,0,14,116273,656951,No,Fem,Bachelors,Professional,73,Private,21660,Sports Car,0,No,0,13,0,Highly Rural/ Rural
0,46,0,11,56324,200226,No,Mal,High School,Clerical,62,Commercial,31390,Panel Truck,0,No,5,3,0,Highly Rural/ Rural
0,38,0,17,29053,142102,Yes,Fem,<High School,Clerical,82,Private,11300,Sports Car,1,No,6,9,0,Highly Urban/ Urban
0,78,0,3,960,132503,Yes,Fem,Bachelors,Home Maker,74,Private,27890,unknown,2,No,2,11,0,Highly Urban/ Urban
1,55,1,3,560,376896,Yes,Fem,<High School,Student,79,Private,1500,Sports Car,3,No,2,9,0,Highly Rural/ Rural
0,39,0,15,33496,941180,No,Fem,High School,Clerical,57,Private,1500,unknown,0,No,2,9,1,Highly Urban/ Urban
0,48,0,14,34111,332077,Yes,Fem,Bachelors,Professional,76,Private,11530,unknown,2,No,0,11,0,Highly Rural/ Rural
1,41,3,3,960,111891,No,Mal,High School,Home Maker,81,Private,16510,Minivan,3,Yes,2,3,1,Highly Urban/ Urban
0,73,0,17,25535,223394,Yes,Fem,High School,Home Maker,118,Private,8560,Sports Car,2,No,2,11,0,Highly Rural/ Rural
0,52,2,19,33506,324560,Yes,Mal,<High School,Clerical,94,Private,5800,Minivan,0,No,1,7,0,Highly Urban/ Urban
1,61,1,3,960,653679,No,Fem,Bachelors,Home Maker,66,Private,18820,unknown,1,No,6,11,0,Highly Urban/ Urban
0,72,0,19,164118,443587,Yes,Mal,Masters,,89,Commercial,23320,Panel Truck,2,No,3,21,0,Highly Urban/ Urban
0,80,0,13,58772,256083,Yes,Fem,<High School,Teacher,82,Private,13420,Sports Car,3,No,5,3,0,Highly Rural/ Rural
0,58,0,10,73868,287757,No,Mal,Masters,Nurse,83,Private,18720,Van,0,No,4,21,0,Highly Rural/ Rural
